Date,Open,Close
1981,1197,4731
1982,404,6093
1983,787,7913
1984,1434,13021
1985,3864,14139
1986,7440,11805
1987,8676,16615
1988,8593,18454
1989,10296,20914
1990,7218,19948
1991,19384,18925
1992,22524,18134
1993,32995,25470
1994,46824,39051
1995,47832,41439
1996,59688,55382
1997,85002,64026
1998,88286,60169
1999,72892,69118
2000,93652,80428
2001,350312,75316
2002,214404,77743
2003,176499,94215
2004,183983,110686
2005,449594,118930
2006,666555,126206
2007,918154,120187
2008,665444,121900
2009,1052038,130982
2010,1238629,146575
2011,1669863,151488
2012,1664471,164533
2013,1948598,178245
2014,891771,196571
2015,1294288,260457
2016,1220349,248073
2017,1847555,257634
2018,2068881,238713
2019,1009438,237139